iter	MultiClass
0	1.748224534
1	1.708198283
2	1.669436767
3	1.632492491
4	1.599348796
5	1.566124
6	1.536263132
7	1.506906188
8	1.480191374
9	1.455000687
10	1.430658397
11	1.406208625
12	1.384432483
13	1.363578788
14	1.34474978
15	1.325806044
16	1.30773438
17	1.292104377
18	1.276686052
19	1.26172712
20	1.247576998
21	1.235080327
22	1.22144331
23	1.211628842
24	1.201016777
25	1.190383332
26	1.17999815
27	1.169885385
28	1.160711852
29	1.152573683
30	1.144084283
31	1.136036981
32	1.128368509
33	1.121478039
34	1.114361192
35	1.108438073
36	1.101880749
37	1.095661358
38	1.089798104
39	1.083045172
40	1.077311122
41	1.071616509
42	1.065700533
43	1.060639322
44	1.055808591
45	1.050242847
46	1.04513545
47	1.038910671
48	1.033505645
49	1.028767085
50	1.023419525
51	1.018753004
52	1.013242786
53	1.008458183
54	1.004323847
55	0.9992465897
56	0.9949193273
57	0.9906183277
58	0.9872622835
59	0.9828435976
60	0.9782367565
61	0.9738454623
62	0.9688091431
63	0.9646300916
64	0.9611165165
65	0.9569663073
66	0.9527974949
67	0.9490456308
68	0.9447320754
69	0.9406291202
70	0.9369574644
71	0.9325006973
72	0.9287305997
73	0.9243717631
74	0.9215787276
75	0.9177481344
76	0.9143713797
77	0.910293053
78	0.9072057906
79	0.9042744628
80	0.9011824516
81	0.8983878439
82	0.8956436266
83	0.8940698225
84	0.8921044122
85	0.888183498
86	0.8847158675
87	0.8814403902
88	0.8791890473
89	0.8763613519
90	0.8729558664
91	0.8705968758
92	0.8684783335
93	0.8664100075
94	0.8637188644
95	0.8613163817
96	0.8596142669
97	0.8577982835
98	0.8547686351
99	0.852840427
100	0.8502445993
101	0.8479516971
102	0.8463191858
103	0.844929446
104	0.8430771865
105	0.8418850676
106	0.8402072445
107	0.837350198
108	0.8349224342
109	0.8335787894
110	0.831950212
111	0.8304234522
112	0.8277288683
113	0.8255532108
114	0.8232049271
115	0.8207910455
116	0.8185881502
117	0.8170094467
118	0.8156117487
119	0.8130853178
120	0.811869096
121	0.8105498806
122	0.8087961465
123	0.8066035555
124	0.8043497768
125	0.8031455211
126	0.8009818951
127	0.7998177366
128	0.7981436911
129	0.7965570525
130	0.7948930211
131	0.7931139683
132	0.7914075029
133	0.7896305532
134	0.788420273
135	0.7865337312
136	0.7848341936
137	0.7827484974
138	0.7813954701
139	0.7802307007
140	0.778701437
141	0.7769226734
142	0.7754902487
143	0.7739227458
144	0.7721484421
145	0.7708708826
146	0.7694498433
147	0.7674765229
148	0.7653871897
149	0.7644341135
